Fecha,Abierto,Alto,Bajo,Cierre,Volumen
2015-01-01,351.9,360.36,350.86,354.17,73405795
2015-01-02,346.1,354.74,342.72,349.34,93371228
2015-01-03,349.98,356.84,346.04,351.3,37073695
2015-01-05,346.66,352.11,336.54,347.5,70082077
2015-01-05,344.61,347.6,335.7,335.83,72560261
2015-01-06,339.37,347.15,334.09,337.73,5642355
2015-01-06,338.04,341.6,336.59,340.29,75046690
2015-01-07,342.29,348.18,335.53,337.03,80874376
2015-01-07,333.83,342.07,329.09,337.52,43303088
2015-01-09,333.97,341.89,331.86,337.21,13330298
2015-01-10,335.61,343.76,332.98,335.61,10420620
2015-01-12,340.69,346.38,336.95,341.97,27669378
2015-01-14,340.36,349.31,339.46,341.92,47711962
2015-01-14,335.65,342.15,330.78,336.06,61588765
2015-01-15,342.37,351.23,337.53,337.8,10033011
2015-01-25,336.31,340.02,334.6,339.38,78082348
2015-01-28,336.98,342.96,330.08,335.23,46482665
2015-01-30,336.53,346.41,334.61,341.4,39885285
2015-02-04,336.19,344.96,330.54,336.4,17108392
2015-02-06,339.94,342.87,339.5,340.99,71263546
2015-02-07,340.61,345.28,332.34,340.09,71796235
2015-02-12,343.07,349.45,339.22,341.56,61783636
2015-02-18,338.54,338.98,335.69,336.93,23326102
2015-02-19,339.66,347.02,333.62,339.05,26769002
2015-02-19,333.38,341.43,330.57,337.59,76866629
2015-02-20,337.61,340.57,330.07,338.16,88097399
2015-02-20,336.8,345.07,331.42,338.5,40360843
2015-02-20,334.44,341.94,329.73,330.87,79172888
2015-02-28,327.99,329.24,327.54,328.6,41972175
2015-03-03,329.2,330.66,325.0,330.34,71540914
2015-03-04,324.65,330.76,322.53,326.79,76828465
2015-03-11,326.63,335.78,318.6,334.36,26424278
2015-03-14,341.28,347.38,337.0,340.51,51018786
2015-03-19,339.94,349.87,333.56,336.46,56648997
2015-03-19,329.19,330.17,322.93,328.07,58934006
2015-03-25,330.55,335.68,320.77,323.62,50257210
2015-03-25,322.23,324.59,315.84,323.33,79693636
2015-03-27,318.41,319.59,314.46,317.53,92574936
2015-03-28,319.79,323.56,319.08,322.33,88605061
2015-03-28,324.04,331.82,316.03,328.71,16340420
2015-03-28,328.38,334.08,324.16,333.64,46983799
2015-03-29,342.39,348.46,338.78,341.22,81538782
2015-03-29,341.27,348.72,336.04,338.2,49849731
2015-03-30,338.7,346.06,330.41,340.5,88635452
2015-04-05,337.37,344.11,334.99,338.19,1780289
2015-04-07,341.57,349.87,336.57,339.99,94601709
2015-04-10,346.83,351.67,340.4,343.64,48069902
2015-04-13,341.79,351.22,336.86,342.46,72116440
