Fecha	Abierto	Alto	Bajo	Cierre	Volumen
2015-01-01	336.58	339.74	330.93	334.71	8519398
2015-01-02	335.38	345.03	330.32	344.08	24458316
2015-01-02	345.22	347.5	341.36	342.82	34676887
2015-01-03	340.37	345.89	332.54	338.8	40952837
2015-01-04	334.42	339.08	326.2	332.32	96739885
2015-01-05	332.34	336.06	331.53	333.97	59913351
2015-01-06	333.3	335.96	328.76	328.91	61515813
2015-01-06	322.61	325.73	319.87	323.33	94900129
2015-01-09	326.78	330.51	318.33	325.68	45021352
2015-01-09	320.37	329.7	315.52	327.74	6630661
2015-01-10	331.02	331.71	327.82	328.18	35279274
2015-01-11	324.91	328.46	324.13	326.65	85587289
2015-01-11	323.17	331.12	315.88	323.6	51838453
2015-01-14	319.5	324.27	311.25	316.04	51974760
2015-01-15	313.54	317.74	306.47	317.36	13907194
2015-01-16	314.44	316.28	308.09	313.47	2525759
2015-01-20	315.16	317.79	314.18	317.31	32603935
2015-01-22	318.69	319.62	311.76	314.72	28440542
2015-01-22	312.73	314.72	303.9	305.85	18915370
2015-01-23	306.85	309.53	299.11	299.24	41062647
2015-01-24	301.67	306.68	301.41	302.55	65772510
2015-01-24	304.86	308.94	299.17	304.37	91359540
2015-01-26	305.06	311.05	302.89	306.1	87137591
2015-01-26	306.57	309.41	304.58	308.35	10246883
2015-01-26	307.74	309.73	306.05	309.16	41287829
2015-01-27	310.74	318.59	302.08	313.66	11569558
2015-01-28	313.99	317.81	312.54	315.02	62912684
2015-01-29	311.06	314.45	308.46	309.15	47093145
2015-01-30	304.22	308.96	301.26	301.34	15611283
2015-01-31	304.18	309.96	301.09	302.59	78694344
2015-01-31	304.79	305.11	297.09	304.43	87829479
2015-02-02	312.49	318.07	306.28	317.71	93440122
2015-02-08	314.17	320.29	310.26	314.96	81424998
2015-02-09	307.41	308.22	302.83	308.19	74837304
2015-02-10	309.31	311.27	307.41	308.95	78770642
2015-02-13	308.91	317.01	304.05	304.48	56062435
2015-02-13	303.12	311.96	295.61	299.85	13024349
2015-02-14	296.47	298.22	292.94	297.95	98803130
2015-02-17	294.66	302.35	286.2	301.45	57261279
2015-02-20	297.75	302.44	289.11	293.52	99780337
2015-02-21	296.77	305.11	291.04	291.79	40276528
2015-02-23	292.36	298.1	285.34	291.31	13593793
2015-02-24	294.23	298.72	292.71	294.41	23551886
2015-02-28	295.61	296.75	287.62	294.55	54089257
2015-03-01	295.51	299.95	287.45	294.8	33524021
2015-03-02	294.96	297.13	293.93	296.91	45809791
2015-03-02	296.61	303.22	291.34	291.62	80207797
2015-03-03	293.04	293.71	285.12	287.66	82100316
2015-03-04	284.07	284.33	283.4	284.03	74476528
2015-03-05	280.55	282.71	276.64	280.54	3609514
2015-03-07	282.73	284.25	282.59	282.83	11678109
2015-03-08	281.73	282.72	278.63	281.9	99714803
2015-03-10	285.75	287.48	279.76	283.21	13722088
2015-03-12	286.55	292.21	283.48	288.19	69612054
2015-03-13	290.69	290.76	283.34	289.37	91074195
2015-03-19	288.51	291.45	280.87	286.05	26835463
2015-03-20	282.25	285.42	273.94	283.77	53872041
2015-03-20	285.73	286.97	279.11	280.89	52613193
2015-03-20	282.51	290.67	280.41	290.24	34040396
2015-03-27	286.1	290.82	278.32	289.22	69559730
2015-03-30	283.5	286.11	278.76	280.08	19462945
2015-03-31	281.72	285.11	276.91	283.64	37815642
2015-04-03	287.98	288.35	287.79	288.18	32304728
2015-04-06	289.93	298.51	281.59	289.2	57312283
2015-04-11	289.57	291.05	288.8	288.94	31399578
2015-04-15	290.82	298.93	282.28	296.1	52446213
2015-04-16	296.58	303.38	295.75	295.96	87308763
2015-04-18	298.54	299.92	294.07	294.25	6946480
2015-04-19	299.02	300.07	295.91	297.11	82416166
2015-04-20	294.7	300.68	291.94	296.61	65106144
2015-04-21	298.94	300.41	291.56	291.82	84650001
2015-04-23	292.63	300.12	286.48	294.61	32520668
2015-04-24	297.54	303.83	295.6	299.91	43675451
2015-04-24	299.33	301.72	296.58	297.88	26463492
2015-04-27	297.82	303.48	291.58	302.25	95665572
2015-04-29	305.23	308.17	298.94	303.13	97257543
2015-05-05	302.1	307.61	295.59	306.37	80545453
2015-05-12	302.75	303.76	302.44	303.01	69117958
2015-05-17	304.88	310.15	299.22	308.19	47611951
2015-05-19	306.8	315.27	300.99	308.74	87869406
2015-05-22	311.82	311.94	306.27	309.29	8187085
2015-05-22	312.82	318.67	304.47	317.68	57400004
2015-05-23	315.07	319.09	310.92	317.07	97461486
2015-05-23	320.36	329.71	313.78	323.17	37111064
2015-05-24	326.67	332.59	319.08	322.18	26579847
2015-05-31	325.75	333.82	320.42	323.16	61064420
2015-06-03	322.38	328.39	319.42	326.29	66128912
2015-06-05	327.22	334.29	321.84	324.71	62667030
2015-06-06	322.05	329.37	313.8	319.52	53363467
2015-06-08	320.95	321.7	313.15	316.69	39874696
2015-06-08	314.06	314.17	312.52	314.0	18538262
2015-06-10	313.93	317.32	313.88	316.36	65606714
2015-06-11	316.96	323.39	311.31	322.02	44022357
2015-06-13	321.3	329.37	320.79	321.24	16300829
2015-06-16	319.32	326.82	311.22	314.62	18063644
2015-06-17	317.07	319.34	314.26	316.5	8876041
2015-06-19	321.86	326.01	313.57	322.19	19882138
2015-06-20	322.31	322.4	321.53	321.54	56444929
2015-06-21	319.24	324.47	319.17	322.3	26887917
2015-06-22	324.48	326.43	316.11	318.26	96451877
2015-06-24	317.24	318.19	313.56	314.15	16253977
2015-06-24	306.63	311.11	304.85	307.12	24532569
2015-06-29	309.08	311.62	300.89	300.97	2878477
2015-06-29	299.95	307.05	292.98	293.68	58788245
2015-06-30	294.37	296.36	293.15	296.05	43852466
2015-07-05	297.01	301.26	289.59	297.4	38254315
2015-07-06	291.81	297.64	286.19	286.2	45031316
2015-07-07	287.57	293.65	279.99	287.81	75270791
2015-07-07	289.44	297.63	288.83	297.42	14233032
2015-07-08	299.14	300.82	298.37	299.39	40872301
2015-07-09	297.54	302.02	296.16	297.89	28124898
2015-07-13	297.59	305.65	296.01	303.43	38623955
2015-07-15	307.58	314.34	299.89	304.16	72009301
2015-07-15	303.47	310.68	300.5	305.61	87515066
2015-07-16	304.85	311.22	301.0	301.7	3853402
2015-07-18	304.68	313.14	296.28	304.61	9837269
2015-07-19	303.33	309.28	300.35	302.5	70856415
2015-07-21	302.02	302.97	296.3	300.95	83007879
2015-07-23	302.25	305.67	298.49	300.83	99016872
2015-07-24	299.14	307.23	296.71	303.27	1105378
2015-07-25	300.36	308.52	296.72	300.92	25516709
2015-07-25	302.05	306.69	298.59	298.84	26826604
2015-07-26	294.69	294.83	292.11	294.15	78577130
2015-07-26	290.73	292.68	290.14	291.63	95800731
2015-07-28	288.08	290.28	284.04	288.73	32211486
2015-07-31	289.66	293.61	282.32	290.94	95186325
2015-08-01	294.01	296.14	287.29	292.67	54159845
2015-08-02	291.95	292.86	291.39	291.5	12433305
2015-08-03	289.27	294.65	281.67	284.74	11341264
2015-08-03	282.51	288.8	276.04	287.6	31876292
2015-08-05	288.98	290.39	281.45	285.3	49647681
2015-08-05	286.63	289.4	280.89	285.45	84890988
2015-08-06	284.92	292.41	284.08	284.85	14562818
2015-08-06	285.92	290.34	278.91	280.26	22703545
2015-08-10	279.89	286.73	275.82	279.55	97027253
2015-08-12	281.71	285.43	280.0	283.21	69883571
2015-08-12	288.81	289.87	288.17	288.68	32815136
2015-08-13	292.49	299.73	286.49	291.71	7906990
2015-08-15	293.76	297.83	287.55	289.75	81949908
2015-08-19	298.45	306.14	293.99	304.77	51954257
2015-08-22	308.9	316.42	307.56	313.75	66627912
2015-08-22	317.37	326.34	312.47	318.62	72129734
2015-08-24	321.11	325.27	313.29	316.74	1532890
2015-08-25	319.22	319.4	317.23	317.48	98394739
2015-08-28	316.7	319.33	314.88	314.93	98316626
2015-08-29	316.81	318.78	310.87	312.78	41818199
2015-08-29	309.76	318.34	300.67	314.14	84895887
2015-08-30	315.94	318.48	307.78	307.96	70013311
2015-08-31	309.36	315.69	306.17	315.41	20491513
2015-08-31	313.65	316.52	305.34	315.12	46868471
2015-08-31	318.32	323.19	311.21	318.09	51350419
2015-09-02	313.05	315.17	308.38	310.63	98530203
2015-09-04	309.97	314.13	306.75	311.18	14578213
2015-09-05	311.39	312.75	303.34	306.38	70840689
2015-09-08	300.72	308.55	298.11	299.13	57250410
2015-09-08	295.71	300.84	295.43	299.43	25509436
2015-09-11	297.92	306.06	296.86	299.07	15965653
2015-09-11	296.33	300.67	292.29	299.01	15676803
2015-09-15	300.74	308.48	300.24	304.09	23996539
2015-09-16	305.57	308.36	302.98	308.07	88918034
2015-09-19	308.18	309.17	303.36	306.83	27145705
2015-09-26	305.2	305.65	300.07	304.44	61157804
2015-09-30	310.56	313.33	309.01	310.68	13991689
2015-09-30	308.74	317.36	308.16	309.28	6792994
2015-10-03	309.64	317.66	307.28	315.1	33497838
2015-10-03	316.74	319.95	312.28	318.05	23474516
2015-10-04	316.38	325.12	312.24	314.79	21626603
2015-10-10	316.68	317.0	308.44	316.59	80837567
2015-10-11	321.04	328.53	313.28	327.08	59213114
2015-10-12	324.28	326.88	319.41	322.66	49072218
2015-10-14	324.45	333.75	314.82	325.25	6841582
2015-10-14	321.58	322.03	314.13	319.01	4689465
2015-10-18	321.19	325.18	315.8	320.04	16407965
2015-10-20	321.0	324.15	316.94	321.88	85668120
2015-10-21	321.62	330.44	317.55	326.63	44023988
2015-10-25	326.36	332.1	324.61	327.11	12519212
2015-10-29	328.5	330.07	327.41	328.66	14217458
2015-11-06	330.74	331.05	322.26	325.06	72939490
2015-11-07	321.39	322.75	315.37	321.39	61072724
2015-11-11	318.64	318.9	312.1	313.51	67575435
2015-11-13	310.81	312.38	310.14	310.42	46329634
2015-11-14	303.27	304.25	298.77	299.67	33974912
2015-11-15	295.81	303.96	290.76	302.88	50121331
2015-11-16	303.78	310.18	300.64	309.99	78422923
2015-11-18	308.71	316.72	306.51	307.34	13665348
2015-11-19	308.04	314.51	302.93	312.12	54963783
2015-11-24	315.06	316.19	313.77	315.82	10443726
2015-11-25	316.94	322.59	308.82	315.75	43257989
2015-11-29	311.95	319.27	311.52	316.66	15648515
2015-12-03	320.94	329.36	318.6	323.03	51778667
2015-12-03	315.95	317.17	309.16	313.78	55927543
2015-12-04	307.93	315.61	306.64	307.26	95367676
