CarID	Juego	Plataforma	DebutAprox	País_Marca	Es_DLC
GT-CAR-00001	Gran Turismo 2	PS1	1998	UK	False
GT-CAR-00002	Gran Turismo 1	PS1	2013	IT	False
GT-CAR-00002	Gran Turismo 3	PS2	2013	IT	False
GT-CAR-00002	Gran Turismo 4	PS2	2014	IT	False
GT-CAR-00002	Gran Turismo 7	PS4/PS5	2011	IT	True
GT-CAR-00003	Gran Turismo 1	PS1	1997	DE	False
GT-CAR-00003	Gran Turismo 4	PS2	1997	DE	False
GT-CAR-00003	Gran Turismo 6	PS3	1997	DE	False
GT-CAR-00003	Gran Turismo 7	PS4/PS5	1997	DE	False
GT-CAR-00004	Gran Turismo 3	PS2	2017	JP	False
GT-CAR-00004	Gran Turismo 7	PS4/PS5	2017	JP	True
GT-CAR-00005	Gran Turismo 7	PS4/PS5	1998	FR	False
GT-CAR-00006	Gran Turismo 1	PS1	1997	JP	False
GT-CAR-00006	Gran Turismo 3	PS2	1997	JP	False
GT-CAR-00006	Gran Turismo 4	PS2	1997	JP	False
GT-CAR-00006	Gran Turismo 7	PS4/PS5	1997	JP	True
GT-CAR-00007	Gran Turismo 3	PS2	2007	IT	False
GT-CAR-00007	Gran Turismo 4	PS2	2008	IT	True
GT-CAR-00008	Gran Turismo 1	PS1	2003	JP	False
GT-CAR-00008	Gran Turismo 7	PS4/PS5	2005	JP	False
GT-CAR-00009	Gran Turismo 6	PS3	2019	US	False
GT-CAR-00010	Gran Turismo 1	PS1	2002	DE	False
GT-CAR-00010	Gran Turismo 3	PS2	2001	DE	False
GT-CAR-00010	Gran Turismo 5	PS2	2000	DE	False
GT-CAR-00010	Gran Turismo 6	PS3	1999	DE	False
GT-CAR-00011	Gran Turismo 1	PS1	2005	US	False
GT-CAR-00011	Gran Turismo 2	PS1	2008	US	False
GT-CAR-00011	Gran Turismo 6	PS3	2005	US	True
GT-CAR-00012	Gran Turismo 4	PS2	2018	DE	False
GT-CAR-00012	Gran Turismo 6	PS3	2018	DE	False
GT-CAR-00013	Gran Turismo 2	PS1	1998	FR	False
