CarID,Marca,Modelo,Año,Clase,Tracción,Potencia_hp,Torque_Nm,Peso_kg,0_100_kmh_s,VelMax_kmh,PP,Precio_CR
GT-CAR-00001,McLaren,650S,1999,N600,FWD,124.2,156.0,1080,7.34,196,281,133793
GT-CAR-00002,Alfa Romeo,4C,2013,N300,FWD,199.2,197.5,1733,6.77,197,277,77551
GT-CAR-00003,Porsche,911 GT3,1994,Gr.B,RR,348.5,395.0,1414,6.43,264,474,245863
GT-CAR-00004,Mazda,RX-7,2015,Gr.4,FWD,167.9,192.8,1280,6.64,209,268,108115
GT-CAR-00005,Citroën,DS3 Racing,1996,N100,MR,377.4,431.5,1482,6.24,274,481,100746
GT-CAR-00006,Toyota,Chaser,1986,Gr.4,MR,175.7,194.3,1514,7.04,220,273,157049
GT-CAR-00007,Pagani,Huayra,2006,N100,AWD,271.9,282.2,1342,6.91,222,385,589596
GT-CAR-00008,Toyota,Celica,2005,N200,AWD,136.3,142.9,1339,7.14,207,290,90273
GT-CAR-00009,Chevrolet,Corvette C7,2021,N600,RWD,419.6,439.0,1427,6.33,271,569,176273
GT-CAR-00010,BMW,M3,2000,Gr.3,RWD,326.3,355.4,1189,7.21,224,458,222991
GT-CAR-00011,Chevrolet,Corvette,2007,N400,RWD,272.3,433.7,1387,7.57,244,392,189309
GT-CAR-00012,Audi,RS5,2017,N600,RR,291.1,329.4,1381,6.07,251,406,149015
GT-CAR-00013,Renault,Megane RS,1999,N400,RWD,160.5,177.5,1497,7.44,193,266,95286
GT-CAR-00014,Chevrolet,Corvette C7,1994,N700,FWD,235.9,285.5,1338,7.05,227,349,158330
GT-CAR-00015,Honda,Prelude,2010,N700,MR,304.8,311.0,1615,7.25,276,370,115789
GT-CAR-00016,Renault,Megane RS,1992,N600,AWD,367.1,449.3,1488,6.24,260,442,178713
GT-CAR-00017,Mazda,Mazda3 MPS,2005,Gr.B,MR,470.4,515.0,1550,4.69,273,522,298332
GT-CAR-00018,Aston Martin,Vantage,2022,N400,RWD,207.5,268.1,1339,7.63,238,370,135601
GT-CAR-00019,Toyota,86,2024,N600,AWD,417.0,525.9,1525,6.18,269,430,199762
GT-CAR-00020,Peugeot,206 RC,1985,N500,RWD,298.7,428.6,1302,6.46,228,446,91625
